职位编号,工作地点,地区,公司名称,岗位名称,薪酬待遇,技能标签,创建时间,工作年限,学历要求
235,杭州,西兴,华为技术有限公司,大数据/AI云服务开发工程师,25k-50k,['Hadoop'  'Spark'  'Flink'  '数据架构'],2019-05-16 21, 1年以下,本科
236,杭州,西兴,华为技术有限公司,机器学习/深度学习/图算法工程师,25k-50k,['人工智能'  '机器学习'  '深度学习'  '计算机视觉'],2019-05-16 21, 3-5年,本科
237,杭州,西兴,华为技术有限公司,基础平台运维专家(中间件),40k-80k,['中间件'  'Linux/Unix'  'J2EE'],2019-05-16 21, 5-10年,本科
238,杭州,西兴,华为技术有限公司,数据库解决方案架构师,30k-60k,['MongoDB'  'Oracle'  '数据库'  '数据库开发'],2019-05-16 21, 5-10年,本科
239,杭州,西兴,华为技术有限公司,自然语言处理工程师,30k-60k,['NLP'  '人工智能'  '语音识别'  '机器学习'],2019-05-16 21, 3-5年,本科
240,杭州,西兴,华为技术有限公司,ARM解决方案POC测试工程师,20k-40k,['测试'  '性能测试'  '功能测试'],2019-05-16 21, 5-10年,本科
241,杭州,西兴,华为技术有限公司,售前解决方案工程师（SA）,20k-40k,['解决方案'  '系统集成'  '售前'],2019-05-16 21, 5-10年,本科
242,杭州,西兴,华为技术有限公司,数据库解决方案工程师,25k-50k,['DBA'  'Oracle'  'MongoDB'],2019-05-16 21, 3-5年,本科
243,西安,无,华为技术有限公司,Java微服务开发工程师,15k-25k,['Linux/Unix'  '云计算'  '数据挖掘'  '软件开发'],2019-05-07 17, 3-5年,本科
244,深圳,无,华为技术有限公司,电商运营经理,10k-20k,['品类运营'  '商家运营'  '产品运营'],2019-05-07 18, 5-10年,大专
245,深圳,无,华为技术有限公司,粉丝/社区运营经理,10k-20k,['用户运营'  '内容运营'  '社区运营'],2019-05-07 18, 3-5年,大专
246,深圳,无,华为技术有限公司,电商营销经理,10k-20k,['新媒体运营'  '营销策划'  '营销策略'  '数字营销'],2019-05-07 18, 3-5年,大专
